source_archive,archive_sha256,analysis_sheet_member,code,project_name,sector,keywords,baseline_schedule,risk_analysis,project_control,project_flag,tracking,n_activities,planned_duration_days,bac,resources_flag,renewable_resources,consumable_resources,resource_conflict,early_late,under_over_budget,has_protrack,has_excel,has_project_card,inclusion_rule,rights_status
data/raw/networks/DSLIB3.4.zip,19f87632c589f5d49f72b5f071992efc6379df2beb35f1efd3a60ac1381dc277,DSLIB 3.4/DSLIB_Analysis_Sheet.xlsx,C2011-01,Nursing Home Noordhinder,Construction (commercial building),Nursing Home; Residential Center,,,,G,N/A,153,766,4679795,Y,12,-,Resource Feasible,-,-,True,True,True,sector starts with Construction (case-insensitive),third-party release; redistribution and project-level use rights require audit
data/raw/networks/DSLIB3.4.zip,19f87632c589f5d49f72b5f071992efc6379df2beb35f1efd3a60ac1381dc277,DSLIB 3.4/DSLIB_Analysis_Sheet.xlsx,C2011-02,Social Housing Kortrijk,Construction (residential building),Residential Center,,,,Y,N/A,113,276,366457,Y,2,-,Resource Feasible,-,-,True,True,True,sector starts with Construction (case-insensitive),third-party release; redistribution and project-level use rights require audit
data/raw/networks/DSLIB3.4.zip,19f87632c589f5d49f72b5f071992efc6379df2beb35f1efd3a60ac1381dc277,DSLIB 3.4/DSLIB_Analysis_Sheet.xlsx,C2011-04,Railway Station Sint-Joost,Construction (civil),Renovation; Outdoors Structure,,,,Y,N/A,18,135,59831,Y,2,-,Resource Feasible,-,-,True,True,True,sector starts with Construction (case-insensitive),third-party release; redistribution and project-level use rights require audit
data/raw/networks/DSLIB3.4.zip,19f87632c589f5d49f72b5f071992efc6379df2beb35f1efd3a60ac1381dc277,DSLIB 3.4/DSLIB_Analysis_Sheet.xlsx,C2011-08,Sports Center Tielt,Construction (civil),Sports Center; Public Construction,,,,Y,N/A,26,75,254564,Y,1,-,Resource Feasible,-,-,True,True,True,sector starts with Construction (case-insensitive),third-party release; redistribution and project-level use rights require audit
data/raw/networks/DSLIB3.4.zip,19f87632c589f5d49f72b5f071992efc6379df2beb35f1efd3a60ac1381dc277,DSLIB 3.4/DSLIB_Analysis_Sheet.xlsx,C2011-10,Building a House,Construction (residential building),Residential Construction,,,,G,N/A,32,195,484398,Y,1,-,Resource Feasible,0.041,0.0218,True,True,True,sector starts with Construction (case-insensitive),third-party release; redistribution and project-level use rights require audit
data/raw/networks/DSLIB3.4.zip,19f87632c589f5d49f72b5f071992efc6379df2beb35f1efd3a60ac1381dc277,DSLIB 3.4/DSLIB_Analysis_Sheet.xlsx,C2011-12,Claeys-Verhelst Premises,Construction (commercial building),Showroom; Warehouse; Offices,,,,G,Y,49,442,3027133,Y,12,-,Resource Feasible,0.0271493212669683,0.0249,True,True,True,sector starts with Construction (case-insensitive),third-party release; redistribution and project-level use rights require audit
data/raw/networks/DSLIB3.4.zip,19f87632c589f5d49f72b5f071992efc6379df2beb35f1efd3a60ac1381dc277,DSLIB 3.4/DSLIB_Analysis_Sheet.xlsx,C2011-13,Wind Farm,Construction (industrial),Wind Power,,,,G,G,134,525,21369836,N,-,-,N/A,0.142857142857143,0.220307212465271,True,True,True,sector starts with Construction (case-insensitive),third-party release; redistribution and project-level use rights require audit
data/raw/networks/DSLIB3.4.zip,19f87632c589f5d49f72b5f071992efc6379df2beb35f1efd3a60ac1381dc277,DSLIB 3.4/DSLIB_Analysis_Sheet.xlsx,C2011-14,Hotel Reylof,Construction (commercial building),Hotel,,,,G,N/A,373,252,-,N,-,-,N/A,-,-,True,True,True,sector starts with Construction (case-insensitive),third-party release; redistribution and project-level use rights require audit
data/raw/networks/DSLIB3.4.zip,19f87632c589f5d49f72b5f071992efc6379df2beb35f1efd3a60ac1381dc277,DSLIB 3.4/DSLIB_Analysis_Sheet.xlsx,C2012-02,Nut Mixing Station,Construction (industrial),New Machine Installation,,,,G,N/A,47,23,1056501,Y,24,-,Resource Feasible,-,-,True,True,True,sector starts with Construction (case-insensitive),third-party release; redistribution and project-level use rights require audit
data/raw/networks/DSLIB3.4.zip,19f87632c589f5d49f72b5f071992efc6379df2beb35f1efd3a60ac1381dc277,DSLIB 3.4/DSLIB_Analysis_Sheet.xlsx,C2012-03,Day Care,Construction (institutional building),Day Care; Renovation,,,,G,N/A,24,128,-,N,-,-,N/A,-,-,True,True,True,sector starts with Construction (case-insensitive),third-party release; redistribution and project-level use rights require audit
