scenario,controller,station,block,completed,total_tasks,deadline_misses,tardiness,idle_blocks,busy_blocks,crane_blocks,cancellations,starts,mismatch_blocks,aborted_blocks,makespan,cost,cost_idle,cost_cancel,cost_tardy,cost_mismatch,cost_restart,tuned_param
base,operating_limit,209,0,10,10,0,0,50,10,60,3,13,3,3,36,6.25,1.0000000000000004,1.5,0.0,3.0,0.75,
base,operating_limit,209,1,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,209,2,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,209,3,10,10,0,0,48,12,60,1,11,3,3,17,5.210000000000001,0.9600000000000005,0.5,0.0,3.0,0.75,
base,operating_limit,209,4,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,209,5,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,209,6,10,10,3,7,53,7,60,3,13,0,0,23,4.66,1.0600000000000005,1.5,2.1,0.0,0.0,
base,operating_limit,209,7,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,209,8,10,10,0,0,41,19,60,0,10,9,9,20,12.07,0.8200000000000004,0.0,0.0,9.0,2.25,
base,operating_limit,209,9,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,209,10,10,10,0,0,51,9,60,1,11,0,0,15,1.5200000000000005,1.0200000000000005,0.5,0.0,0.0,0.0,
base,operating_limit,209,11,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,209,12,10,10,0,0,51,9,60,2,12,1,1,21,3.2700000000000005,1.0200000000000005,1.0,0.0,1.0,0.25,
base,operating_limit,209,13,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,209,14,10,10,0,0,45,15,60,2,12,7,7,28,10.65,0.9000000000000005,1.0,0.0,7.0,1.75,
base,operating_limit,209,15,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,209,16,10,10,0,0,50,10,60,2,12,2,2,24,4.5,1.0000000000000004,1.0,0.0,2.0,0.5,
base,operating_limit,215,0,10,10,1,4,52,8,60,2,12,0,0,28,3.24,1.0400000000000005,1.0,1.2,0.0,0.0,
base,operating_limit,215,1,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,215,2,10,10,0,0,51,9,60,1,11,0,0,15,1.5200000000000005,1.0200000000000005,0.5,0.0,0.0,0.0,
base,operating_limit,215,3,10,10,6,38,52,8,60,2,12,0,0,23,13.440000000000001,1.0400000000000005,1.0,11.4,0.0,0.0,
base,operating_limit,215,4,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,215,5,10,10,0,0,50,10,60,1,11,1,1,15,2.7500000000000004,1.0000000000000004,0.5,0.0,1.0,0.25,
base,operating_limit,215,6,10,10,0,0,50,10,60,1,11,1,1,15,2.7500000000000004,1.0000000000000004,0.5,0.0,1.0,0.25,
