"cite_key","authors","year","title","venue","doi_or_url","verified","evidence_level","object_and_domain","weather_input","calibration_target","dataset_used","why_relevant","threat_level","how_we_differ"
"augustyn2025app","Augustyn, M.; Barski, M.","2025","Numerical and Analytical Determination of the Critical Wind Speed Causing the Overturning of the Top-Slewing Tower Crane","Applied Sciences 15:4683","https://doi.org/10.3390/app15094683","yes - Crossref /works/10.3390/app15094683 + doi.org content negotiation, both 2026-09-15; OpenAlex unavailable (HTTP 429) this session","abstract+metadata only","Top-slewing tower crane structural stability: CFD + analytical critical (overturning) wind speed, by jib angle and payload; two crane configurations","None. No forecast, no observation timeseries; wind is a design load case","None. Output is a critical wind-speed value (35-53 m/s) compared against standards","CFD simulations of crane aerodynamics + analytical overturning model (own model, no public dataset)","The only 2025 peer-reviewed work that puts a defensible wind-threshold number on a tower crane; open access so reviewers will find it. Anchors why 9-20 m/s in-service limits are administrative, and gives the paper a citable structural-safety contrast","medium (framing risk, not measurement risk)","It asks when the machine fails (35-53 m/s); this paper asks whether the planner correctly knows the contracted limit is exceeded (9-20 m/s). No forecast, no decision epoch, no window event, no calibration, no economic value. Its critical speeds are 2-5x above every documented in-service limit, which is exactly why the binding operational question is a decision-detection problem rather than a stability problem"
"li2023jmse","Li, Q.; Fan, W.; Huang, M.; Jin, H.; Zhang, J.; Ma, J.","2023","Machine Learning-Based Prediction of Dynamic Responses of a Tower Crane under Strong Coastal Winds","Journal of Marine Science and Engineering 11:803","https://doi.org/10.3390/jmse11040803","yes - Crossref /works/10.3390/jmse11040803 + doi.org content negotiation, both 2026-09-15; OpenAlex unavailable (HTTP 429) this session","abstract+metadata only","Single instrumented tower crane (IoT monitoring) through super typhoon In-fa; two ML models predict tower displacement from measured site wind speed","Site-measured wind speed from the monitoring system (not a forecast, not a station archive)","None. Prediction target is structural displacement, not a decision event","Long-term IoT monitoring records from one coastal construction site (proprietary, not public)","Documents the response lag and weathercock effect in the crane NON-WORKING state and shows max displacement does not coincide with max wind - directly relevant to whether a 10 m station gust is a valid proxy for crane-level load, and to the parked-state caveat in the wind-engineering threat","low (strengthens the paper's stated boundary by making the height/state caveat citable)","Measured wind in, structural response out. No forecast archive, no forecast publication latency, no operational threshold, no probability calibration, no decision or schedule evaluation. Included for the physical-proxy caveat, not as prior art for the measurement"
"hu2023ssci","Hu, S.; Fang, Y.; Moehler, R.","2023","Estimating and visualizing the exposure to tower crane operation hazards on construction sites","Safety Science 160:106044","https://doi.org/10.1016/j.ssci.2022.106044","yes - Crossref /works/10.1016/j.ssci.2022.106044 + doi.org content negotiation, both 2026-09-15; OpenAlex unavailable (HTTP 429) this session","abstract+metadata only","Construction site: estimating and visualising worker exposure to tower-crane operation hazards (kinematic exposure from crane motion and site geometry)","None. No weather variable at all","None","Site geometry / crane motion simulation (own model)","Establishes that 'crane operation exposure' is an accepted measurable object in Safety Science, so the exposure-miss frontier has a familiar home; useful for the Introduction's framing of exposure as a first-class quantity","low","Its exposure is kinematic (being under a moving crane), not informational (attempting a lift in a block whose true wind exceeds the limit). No weather input, no forecast, no threshold, no calibration, no economic value"
"chen2019jlf","Chen, W.; Qin, X.; Yang, Z.; Zhan, P.","2019","Wind-induced tower crane vibration and safety evaluation","Journal of Low Frequency Noise, Vibration and Active Control 39:297-312","https://doi.org/10.1177/1461348419847306","yes - Crossref /works/10.1177/1461348419847306 + doi.org content negotiation, both 2026-09-15; OpenAlex unavailable (HTTP 429) this session","abstract+metadata only","Single tower crane: full-scale CFD wind coefficients + FE random-vibration analysis; wind-induced vibration and safety evaluation","Simulated fluctuating wind (autoregressive time histories), wind speed spectra; no observation and no forecast","None. Output is displacement/stress/acceleration against design rules","FE model of one tower crane (own model)","Deliberate pre-2022 anchor showing that wind acting on cranes is a decades-settled structural question; helps the paper avoid implying that 'wind matters for cranes' is new","low","Design-stage structural analysis with synthetic wind. No forecast archive, no operational limit, no decision, no window event, no calibration"
"wang2024lnme","Wang, X.; Zhang, H.; Liu, W.","2024","Study on Wind-Induced Response and Wind Vibration Coefficient of Tower Crane Under Different Wind Speed Spectra Excitation","Lecture Notes in Mechanical Engineering:759-771","https://doi.org/10.1007/978-981-97-1876-4_60","yes - Crossref /works/10.1007/978-981-97-1876-4_60 + doi.org content negotiation, both 2026-09-15; OpenAlex unavailable (HTTP 429) this session","abstract+metadata only","QTZ25 tower crane: wind-induced response and wind-vibration coefficient under different wind speed spectra and wind direction angles","Simulated wind speed time histories (harmonic synthesis) for Simiu, Davenport and Harris spectra","None","Parametric APDL finite-element model (own model)","Quantifies how much the structural demand estimate moves with the assumed wind spectrum (12.0-18.6% coefficient deviation) - a useful, citable statement that wind-input assumptions carry real uncertainty, which supports treating the gust/mean averaging interval as a sensitivity axis","low","Structural dynamics only. No measurement, no forecast, no operational threshold, no decision, no schedule, no calibration"
"jafarpour2023marstruc","Jafarpour Hamedani, S.; Khedmati, M. R.","2023","Optimal weather window for transportation of large-scale offshore structures","Marine Structures 92:103483","https://doi.org/10.1016/j.marstruc.2023.103483","yes - Crossref /works/10.1016/j.marstruc.2023.103483 + doi.org content negotiation, both 2026-09-15; OpenAlex unavailable (HTTP 429) this session","abstract+metadata only","Transportation of large-scale offshore structures: optimal weather window determination","Metocean conditions / reliability-based window analysis (abstract not exposed by Crossref)","Not verifiable at abstract level; companion to the float-over paper already in the matrix","Not verified (no full text retrieved)","Same authors as jafarpour2024 already in the positioning matrix, so a reviewer will read this as one line of work; it must be cited together with that paper to avoid appearing to miss it","medium (companion work, not an independent method)","Second paper by the same authors on the same reliability-based weather-window logic. Shares the three established differences from this study: no archived as-issued forecast, no forecast-publication latency audit, no fitted calibration of the forecast-to-event mapping. No statistical (Brier/reliability) calibration of a recurring decision event"
"wu2021marstruc","Wu, M.; Gao, Z.","2021","Methodology for developing a response-based correction factor (alpha-factor) for allowable sea state assessment of marine operations considering weather forecast uncertainty","Marine Structures 79:103050","https://doi.org/10.1016/j.marstruc.2021.103050","yes - Crossref /works/10.1016/j.marstruc.2021.103050 + doi.org content negotiation, both 2026-09-15; OpenAlex unavailable (HTTP 429) this session","abstract+metadata only","Marine operations: methodology for a response-based correction factor (alpha-factor) for allowable sea state assessment","Weather forecast uncertainty enters explicitly as the quantity the alpha-factor is designed to absorb","The alpha-factor itself: a response-based safety correction on the allowable sea state, NOT a fitted probability of a decision event","Not verified (no full text retrieved); Crossref records a CC BY licence on the article","This is the theoretical home of the alpha-factor that doskeland2023 applies. It pre-empts any reading that 'replacing alpha-factors with calibration' is itself a new observation, so it must be cited wherever the paper contrasts alpha-factors with fitted calibration","high (occupies the alpha-factor concept the paper contrasts against)","It derives a correction factor on an allowable limit to cover forecast uncertainty; it does not fit P(decision event | forecast), does not produce Brier/reliability diagnostics, and is not a multi-year archive replay. The distinction to state precisely is response-based safety correction of a limit versus statistical calibration of a recurring decision event"
"wang2016omae","Wang, Y.; van Deyzen, A.; Pauw, W.; Huijsmans, R.","2016","A Methodology to Assess the Downtime of a Multi-Phase Offshore Floating Bulk Transshipment Operation","Volume 1: Offshore Technology; Offshore Geotechnics:V001T01A011","https://doi.org/10.1115/omae2016-54774","yes - Crossref /works/10.1115/omae2016-54774 + doi.org content negotiation, both 2026-09-15; OpenAlex unavailable (HTTP 429) this session","abstract+metadata only","Multi-phase offshore floating bulk transshipment operation: downtime/operability methodology with per-phase durations and sea-state shift during the operation","Persistency statistics of waves (scatter diagrams vs persistence); wind and current explicitly NOT considered","None. Output is estimated downtime from persistency vs scatter analysis","Persistency data / wave scatter diagrams (not a forecast archive)","The closest classical analogue to a multi-hour uninterrupted window with phase structure, and it demonstrates that ignoring persistency makes downtime estimates optimistic - a citable precedent for why the window-maximum event differs from a point condition","medium","Persistence-statistics input, not an as-issued forecast; single-hazard (waves only, wind and current explicitly excluded); no publication latency, no probability calibration, no cost-loss value, no chronologically held-out replay"
"li2025oceaneng","Li, J.; Liang, B.; Shao, Z.; Gao, H.","2025","Joint probability analysis of significant wave height and wind speed under extreme weather conditions","Ocean Engineering 334:121664","https://doi.org/10.1016/j.oceaneng.2025.121664","yes - Crossref /works/10.1016/j.oceaneng.2025.121664 + doi.org content negotiation, both 2026-09-15; OpenAlex unavailable (HTTP 429) this session","abstract+metadata only","Joint probability of significant wave height and wind speed under extreme weather conditions (multivariate/copula joint structure)","Climatological joint distribution of two metocean variables; no forecast","None. Output is a joint probability structure, not a calibrated decision probability","Not verified (no full text retrieved)","The multi-hazard climatology half of the problem: establishes that wind and wave are treated jointly in the offshore literature, which makes the paper's single-variable gust input a visible limitation and makes a two-variable decision event a natural extension","low","Joint CLIMATOLOGICAL probability of two hazards; no forecast, no decision, no operational threshold, no event calibration, no schedule. This paper studies the joint INFORMATION problem (which forecast, how calibrated), not the joint climatology"
"mohamed2024wace","Mohamed, I.; Najafi, M. R.; Joe, P.; Brimelow, J.","2024","Multivariate analysis of compound hail, wind and rainfall extremes in Alberta's hail alley","Weather and Climate Extremes 46:100718","https://doi.org/10.1016/j.wace.2024.100718","yes - Crossref /works/10.1016/j.wace.2024.100718 + doi.org content negotiation, both 2026-09-15; OpenAlex unavailable (HTTP 429) this session","abstract+metadata only","Compound hail, wind and rainfall extremes in Alberta's hail alley: multivariate extreme-value analysis; shows single-hazard risk assessment is incomplete and potentially misleading","Observational extreme-value climatology of three hazards jointly","None","Regional observational record of hail, wind and rainfall extremes","The clearest published statement that wind-only analysis is incomplete when rain co-occurs; gives the paper a citable justification for naming a wind+rain operational window as future work rather than leaving the single-hazard choice undefended","medium (constrains the 'single-hazard' limitation)","Regional compound-extremes climatology for hail risk. No operation, no forecast, no window, no decision, no calibration, no economic evaluation. It supplies the motivation for a multi-hazard window; it does not perform one"
