title,authors,year,doi,container_title,verified_via,doi_resolves,why_relevant_or_how_we_differ
Spatio-temporal heat risk analysis in construction: Digital twin-enabled monitoring,Kim Yoojun; Ham Youngjib,2024,10.1016/j.autcon.2024.105805,Automation in Construction,https://api.crossref.org/works/10.1016/j.autcon.2024.105805?mailto=imut-lit-verify@example.org,yes,Relevant as proof that Automation in Construction publishes construction-weather risk analysis yet this paper monitors spatio-temporal heat risk with a digital twin instead of optimising a schedule so our forecast-informed weather-window formulation and rolling forecast-to-schedule decisions are the different contribution.
Worker-centric heat strain analysis: Integrating physiological signals with ensemble learning and domain adaptation,Ojha Amit; Shayesteh Shayan; Sharifironizi Ali; Liu Yizhi; et al.,2024,10.1016/j.autcon.2024.105670,Automation in Construction,https://api.crossref.org/works/10.1016/j.autcon.2024.105670?mailto=imut-lit-verify@example.org,yes,Relevant because it shows AiC accepts weather-exposure impact studies on construction work yet it quantifies individual heat strain from physiological signals with ensemble learning while we model weather as an exogenous admissibility process that gates activity initiation and continuation.
Free fall simulation-driven synthetic modeling for deep learning-based potential wind-borne debris assessment in jobsites,Kamari Mirsalar; Ham Youngjib,2025,10.1016/j.autcon.2025.106437,Automation in Construction,https://api.crossref.org/works/10.1016/j.autcon.2025.106437?mailto=imut-lit-verify@example.org,yes,Relevant as recent AiC evidence that wind hazard and jobsite weather exposure matter yet it predicts wind-borne debris risk with synthetic free-fall simulation and deep learning whereas we formulate initiation-versus-continuation weather thresholds and three-valued admissible/inadmissible/unresolved window logic.
Multi-objective optimization for flexible design of aerial building machine under various wind conditions,Zhang Limao; Ma Junwei; Wang Jiaqi; Sun Qing; et al.,2025,10.1016/j.autcon.2024.105956,Automation in Construction,https://api.crossref.org/works/10.1016/j.autcon.2024.105956?mailto=imut-lit-verify@example.org,yes,Relevant because it treats wind conditions as a binding operational constraint for a large construction machine yet it optimises a structural design under wind rather than a project schedule under forecast weather windows.
Leveraging digital enabling technologies for integrating climate adaptation and mitigation in urban design,Ricciardi Guglielmo; Callegari Guido; Leone Mattia Federico,2025,10.1016/j.autcon.2025.106504,Automation in Construction,https://api.crossref.org/works/10.1016/j.autcon.2025.106504?mailto=imut-lit-verify@example.org,yes,Relevant as recent AiC coverage of climate adaptation in the built environment yet it reviews digital enabling technologies for urban design and does not address weather-aware scheduling of construction operations.
Deep learning and heuristic exploration for risk-aware scheduling in construction projects,Peng Junlong; Chen Chupei,2026,10.1016/j.autcon.2026.106957,Automation in Construction,https://api.crossref.org/works/10.1016/j.autcon.2026.106957?mailto=imut-lit-verify@example.org,yes,Relevant because AiC publishes scheduling work that explicitly embeds risk yet this paper learns risk-aware schedules with deep learning plus heuristic search and does not use forecast weather windows with non-anticipative rolling re-decision.
From prediction to prioritization: Automated framework for delay risk management in highway earthwork projects,Cho Mingeon; Park Minsoo; Park Jongho; Park Sun-Kyu; et al.,2026,10.1016/j.autcon.2025.106588,Automation in Construction,https://api.crossref.org/works/10.1016/j.autcon.2025.106588?mailto=imut-lit-verify@example.org,yes,Relevant because it addresses weather-sensitive delay risk in earthwork projects yet it prioritises delay risks from automated prediction instead of testing schedule feasibility under forecast-driven weather-window admissibility.
A non-unit repetitive construction project scheduling with uncertainties,Long Luong Duc,2024,10.1016/j.autcon.2024.105428,Automation in Construction,https://api.crossref.org/works/10.1016/j.autcon.2024.105428?mailto=imut-lit-verify@example.org,yes,Relevant because AiC publishes repetitive-project scheduling under uncertainty yet its uncertainty is generic duration variability without a forecast-shared weather trajectory or state-dependent admissibility thresholds.
Automated construction scheduling using deep reinforcement learning with valid action sampling,Yao Yuan; Tam Vivian W.Y.; Wang Jun; Le Khoa N.; et al.,2024,10.1016/j.autcon.2024.105622,Automation in Construction,https://api.crossref.org/works/10.1016/j.autcon.2024.105622?mailto=imut-lit-verify@example.org,yes,Relevant because it shows AiC publishes automated schedule generation with reinforcement learning yet that generator has no weather-window feasibility model and no rolling forecast-to-schedule decision loop.
A data-driven and knowledge-based decision support system for optimized construction planning and control,Sheikhkhoshkar Moslem; El-Haouzi Hind Bril; Aubry Alexis; Hamzeh Farook; et al.,2025,10.1016/j.autcon.2025.106066,Automation in Construction,https://api.crossref.org/works/10.1016/j.autcon.2025.106066?mailto=imut-lit-verify@example.org,yes,Relevant because it is a decision-support system for optimised construction planning and control yet it is data- and knowledge-driven from project records rather than forecast-informed under shared weather trajectories.
